quant_trading_engine  | 2026-03-23 13:18:14 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал DOGE/USDT Momentum ATR ПРОПУЩЕН: устарел на 194с
quant_trading_engine  | 2026-03-23 13:18:14 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для FIL/USDT (5m)
quant_trading_engine  | 2026-03-23 13:18:14 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для FIL/USDT (15m)
quant_trading_engine  | 2026-03-23 13:18:15 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для FIL/USDT (1h)
quant_trading_engine  | 2026-03-23 13:18:16 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для FIL/USDT (4h)
quant_trading_engine  | 2026-03-23 13:18:19 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал DOGE/USDT Range Expansion ПРОПУЩЕН: устарел на 4699с
quant_trading_engine  | 2026-03-23 13:18:19 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал DOGE/USDT Opening Range ПРОПУЩЕН: устарел на 4699с
quant_trading_engine  | 2026-03-23 13:18:19 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал DOGE/USDT Williams R ПРОПУЩЕН: устарел на 4699с
quant_trading_engine  | 2026-03-23 13:18:19 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для APT/USDT (1m)
quant_trading_engine  | 2026-03-23 13:18:19 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для APT/USDT (5m)
quant_trading_engine  | 2026-03-23 13:18:19 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для APT/USDT (15m)
quant_trading_engine  | 2026-03-23 13:18:21 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для APT/USDT (1h)
quant_trading_engine  | 2026-03-23 13:18:21 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для APT/USDT (4h)
quant_trading_engine  | 2026-03-23 13:18:23 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал ADA/USDT Opening Range ПРОПУЩЕН: устарел на 203с
quant_trading_engine  | 2026-03-23 13:18:23 | INFO     | services.market_data.market_streamer:fetch_avg_prices:106 - Начало мониторинга Average Prices (5m)
quant_trading_engine  | 2026-03-23 13:18:23 | INFO     | services.market_data.market_streamer:fetch_funding_rates:91 - Начало проверки Funding Rates
quant_trading_engine  | 2026-03-23 13:18:23 | INFO     | services.market_data.market_streamer:_watchdog_loop:181 - 🐕 Watchdog запущен
quant_trading_engine  | 2026-03-23 13:18:24 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал ADA/USDT Momentum ATR ПРОПУЩЕН: устарел на 204с
quant_trading_engine  | 2026-03-23 13:18:29 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал ADA/USDT Range Expansion ПРОПУЩЕН: устарел на 4709с
quant_trading_engine  | 2026-03-23 13:18:29 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал ADA/USDT Williams R ПРОПУЩЕН: устарел на 4709с
quant_trading_engine  | 2026-03-23 13:18:32 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал TRX/USDT Opening Range ПРОПУЩЕН: устарел на 212с
quant_trading_engine  | 2026-03-23 13:18:38 | INFO     | services.signal_engine.engine:_process_ohlcv:224 - 💤 [LINK/USDT] Тренд слишком слабый (ADX 15m=12.66 < 20). Пропускаю Triple EMA Filter
quant_trading_engine  | 2026-03-23 13:18:39 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал LINK/USDT Opening Range ПРОПУЩЕН: устарел на 219с
quant_trading_engine  | 2026-03-23 13:18:40 | INFO     | services.signal_engine.engine:_process_ohlcv:224 - 💤 [LINK/USDT] Тренд слишком слабый (ADX 15m=12.66 < 20). Пропускаю Triple EMA Filter
quant_trading_engine  | 2026-03-23 13:18:44 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал LINK/USDT Momentum ATR ПРОПУЩЕН: устарел на 1124с
quant_trading_engine  | 2026-03-23 13:18:46 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал LINK/USDT Range Expansion ПРОПУЩЕН: устарел на 4726с
